,price.open,price.high,price.low,price.close,volume,price.adjusted,sale price,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,pct change,direction
179,87.550003,88.839996,86.010002,86.940002,4780700,86.27726,175.78000,7/1/19,TGT,0.003810272,0.003810195,0.448308482,D
180,86.910004,87.050003,86.239998,87.040001,2323600,86.376495,174.09000,7/2/19,TGT,0.001150187,0.001150207,0.172613955,D
181,87.5,87.980003,87.419998,87.900002,1532900,87.229935,175.88001,7/3/19,TGT,0.009880466,0.009880526,-0.466864945,E
182,87.75,88.779999,87.440002,88.639999,2032000,87.964294,177.42000,7/5/19,TGT,0.008418658,0.008418623,-0.495806881,E
183,88.550003,89.410004,87.949997,88.910004,4734400,88.232239,178.32001,7/8/19,TGT,0.003046065,0.003046085,-0.316108893,E
184,88.470001,89.400002,87.800003,87.800003,3986900,87.130699,177.20001,7/9/19,TGT,-0.012484552,-0.012484546,-0.230176083,E
185,87.849998,88,85.68,85.849998,5638400,85.195564,173.85000,7/10/19,TGT,-0.022209566,-0.022209623,0.565569249,D
186,86.400002,87.220001,86.059998,86.470001,5307700,85.810837,173.69000,7/11/19,TGT,0.00722189,0.007221934,0.318099639,D
187,87.050003,88.879997,86.730003,87.529999,4732000,86.862755,176.41000,7/12/19,TGT,0.012258568,0.012258564,0.220956947,D
188,87.550003,88.209999,86.449997,86.800003,3174200,86.138329,175.01000,7/15/19,TGT,-0.008339892,-0.008339952,0.275325154,D
189,87.419998,88.82,87.099998,88.309998,5276900,87.63681,177.13000,7/16/19,TGT,0.017396216,0.017396255,-0.247782904,E
190,88.050003,88.120003,87.209999,87.860001,3671100,87.190239,175.98000,7/17/19,TGT,-0.005095701,-0.005095652,0.154499805,D
191,87.510002,88.519997,87.029999,88.5,3847300,87.825363,177.02000,7/18/19,TGT,0.007284348,0.007284304,0.133676817,D
192,88.839996,89.139999,88,88.010002,3420400,87.339104,177.15000,7/19/19,TGT,-0.005536658,-0.005536701,-0.009074019,E
193,88.25,88.639999,86.879997,87.220001,2850200,86.555122,175.86000,7/22/19,TGT,-0.0089763,-0.008976264,-0.036374239,E
